S3,small,"(53.33126428407144, 4.457288689604885)","(61.33126428407144, 12.457288689604885)"
S4,small,"(88.92781254239692, 23.024292289493914)","(96.92781254239692, 31.024292289493914)"
S5,small,"(119.61920885832524, 54.71718156074213)","(127.61920885832524, 62.71718156074213)"
S6,small,"(62.305297089242714, 44.02356724380158)","(70.30529708924271, 52.02356724380158)"
S7,small,"(58.00257930612326, 117.17770613817423)","(66.00257930612327, 125.17770613817423)"
S8,small,"(109.85626470836169, 111.6551885287785)","(117.85626470836169, 119.6551885287785)"
S9,small,"(84.52527604924607, 84.9764608334604)","(92.52527604924607, 92.9764608334604)"
S10,small,"(99.3533652108237, 145.68285395613665)","(107.3533652108237, 153.68285395613665)"
S11,small,"(95.8468959859047, 42.09184688124074)","(103.8468959859047, 50.09184688124074)"
M0,medium,"(81.80147509811866, 107.27571677236843)","(92.80147509811866, 114.27571677236843)"
M1,medium,"(92.24908804683047, 166.91316478209882)","(103.24908804683047, 173.91316478209882)"
M2,medium,"(64.51269060324763, 80.20229421458639)","(75.51269060324763, 87.20229421458639)"
M3,medium,"(90.85195887886178, 117.50525121396488)","(101.85195887886178, 124.50525121396488)"
M4,medium,"(95.67024532231301, 91.86121082969763)","(106.67024532231301, 98.86121082969763)"
L0,large,"(143.6735214662806, 116.74370738179577)","(155.6735214662806, 126.74370738179577)"
L1,large,"(77.18183241896841, 6.541695143374567)","(89.18183241896841, 16.541695143374568)"
L2,large,"(74, 3)","(86, 13)"
20,1,11196750.0,5
S0,small,"(90.132303797119, 131.48117146300928)","(98.132303797119, 139.48117146300928)"
S1,small,"(127.80538180728657, 27.68661855994681)","(135.80538180728655, 35.68661855994681)"
S2,small,"(148.67298740346155, 154.57954521560652)","(156.67298740346155, 162.57954521560652)"
S3,small,"(41.6925399681197, 11.745404750562633)","(49.6925399681197, 19.745404750562635)"
S4,small,"(74.25008833679051, 169.4116099328287)","(82.25008833679051, 177.4116099328287)"
S5,small,"(79.33521476260012, 103.62943317315192)","(87.33521476260012, 111.62943317315192)"
S6,small,"(34.44510162893198, 69.48710953738689)","(42.44510162893198, 77.48710953738689)"
S7,small,"(53.114245754872684, 34.09367551387379)","(61.114245754872684, 42.09367551387379)"
S8,small,"(52.687505569950595, 108.10777476004695)","(60.687505569950595, 116.10777476004695)"
S9,small,"(149.10179631881766, 111.0111798008396)","(157.10179631881766, 119.0111798008396)"
S10,small,"(150.43973791386375, 37.026997422849064)","(158.43973791386375, 45.026997422849064)"
S11,small,"(141.3401711607109, 135.14987696022055)","(149.3401711607109, 143.14987696022055)"
M0,medium,"(104.88267534174055, 161.6048265715994)","(115.88267534174055, 168.6048265715994)"
M1,medium,"(83.51941666875649, 71.24318756737863)","(94.51941666875649, 78.24318756737863)"
M2,medium,"(48.143920144140885, 55.839123444818455)","(59.143920144140885, 62.839123444818455)"
M3,medium,"(68.85355214171689, 35.82056082689341)","(79.85355214171689, 42.82056082689341)"
M4,medium,"(105.869581785358, 0.837072298026071)","(116.869581785358, 7.8370722980260705)"
L0,large,"(107.70284775918145, 87.52728948980551)","(119.70284775918145, 97.52728948980551)"
L1,large,"(47.691206106246746, 123.57201275193431)","(59.691206106246746, 133.57201275193432)"
L2,large,"(122, 54)","(134, 64)"
20,1,11022720.0,5
S0,small,"(80.93658804302633, 42.50710067407983)","(88.93658804302633, 50.50710067407983)"
S1,small,"(53.839138536130335, 52.41280380703116)","(61.839138536130335, 60.41280380703116)"
S2,small,"(36.298840261461386, 49.78311336392467)","(44.298840261461386, 57.78311336392467)"
S3,small,"(133.4637852801014, 11.378668247626427)","(141.4637852801014, 19.37866824762643)"
S4,small,"(74.82865675551135, 149.91040077111077)","(82.82865675551135, 157.91040077111077)"
S5,small,"(133.7573995466057, 79.69275510324024)","(141.7573995466057, 87.69275510324024)"
S6,small,"(80.564016335908, 123.14689825955561)","(88.564016335908, 131.1468982595556)"
S7,small,"(47.95312409311, 101.41268801898578)","(55.95312409311, 109.41268801898578)"
S8,small,"(52.280273588117225, 167.80831543526043)","(60.280273588117225, 175.80831543526043)"
S9,small,"(57.87102749558066, 70.3468107739555)","(65.87102749558066, 78.3468107739555)"
S10,small,"(67.71874678359929, 115.57640198418646)","(75.71874678359929, 123.57640198418646)"
S11,small,"(145.68924895191458, 165.7979776875045)","(153.68924895191458, 173.7979776875045)"
M0,medium,"(116.03296550378586, 83.59852054954463)","(127.03296550378586, 90.59852054954463)"
M1,medium,"(128.2708064299952, 30.02408958418401)","(139.2708064299952, 37.02408958418401)"
M2,medium,"(148.7796388188431, 106.13424681224114)","(159.7796388188431, 113.13424681224114)"
M3,medium,"(110.65563268351356, 39.53253282441594)","(121.65563268351356, 46.53253282441594)"
M4,medium,"(34.38312609758122, 27.905220968282926)","(45.38312609758122, 34.905220968282926)"
L0,large,"(97.61842380006642, 10.188631746100237)","(109.61842380006642, 20.188631746100235)"
L1,large,"(144.02292266514522, 138.95303942988642)","(156.02292266514522, 148.95303942988642)"
L2,large,"(112, 119)","(124, 129)"
20,3,11376390.0,5
S0,small,"(78.8339950078475, 1.9113902334476958)","(86.8339950078475, 9.911390233447696)"
S1,small,"(135.77470170716126, 171.21009355524723)","(143.77470170716126, 179.21009355524723)"
S2,small,"(18.914404840686025, 52.98074950694688)","(26.914404840686025, 60.98074950694688)"
S3,small,"(18.527845573696304, 81.256109928803)","(26.527845573696304, 89.256109928803)"
S4,small,"(74.50232572480745, 19.584209218496184)","(82.50232572480745, 27.584209218496184)"
S5,small,"(29.875192393342274, 101.10145005524559)","(37.875192393342274, 109.10145005524559)"
S6,small,"(3.780560030086807, 48.410264876051954)","(11.780560030086807, 56.410264876051954)"
S7,small,"(130.73265555760662, 53.12786265727084)","(138.73265555760662, 61.12786265727084)"
S8,small,"(41.032374305836974, 2.150760474725876)","(49.032374305836974, 10.150760474725876)"
S9,small,"(80.5031656327898, 148.8177423035624)","(88.5031656327898, 156.8177423035624)"
S10,small,"(94.6778501486869, 165.79152859719227)","(102.6778501486869, 173.79152859719227)"
S11,small,"(110.96039972810746, 143.9289412086466)","(118.96039972810746, 151.9289412086466)"
M0,medium,"(125.01294104997876, 81.26217266060279)","(136.01294104997876, 88.26217266060279)"
M1,medium,"(136.82810313080319, 128.0955483656294)","(147.82810313080319, 135.0955483656294)"
M2,medium,"(5.684371604875588, 106.98185924598154)","(16.684371604875587, 113.98185924598154)"
M3,medium,"(36.18281166371666, 148.99732010274568)","(47.18281166371666, 155.99732010274568)"
M4,medium,"(13.364081755522934, 127.00180439435778)","(24.364081755522932, 134.00180439435778)"
L0,large,"(17.014488305576755, 140.68779759568213)","(29.014488305576755, 150.68779759568213)"
L1,large,"(109.79432028470359, 15.49042807465583)","(121.79432028470359, 25.49042807465583)"
L2,large,"(115, 15)","(127, 25)"
40,3,17451930.0,5
S0,small,"(84.58259280269266, 7.833849348783078)","(92.58259280269266, 15.833849348783078)"
S1,small,"(115.29212435584517, 137.1016377302371)","(123.29212435584517, 145.1016377302371)"
S2,small,"(34.49626964982346, 69.20086687657302)","(42.49626964982346, 77.20086687657302)"
S3,small,"(145.86501755396293, 156.27096037633115)","(153.86501755396293, 164.27096037633115)"
S4,small,"(81.96963016388143, 20.745946524153176)","(89.96963016388143, 28.745946524153176)"
S5,small,"(11.68601242441728, 35.545378113454255)","(19.686012424417278, 43.545378113454255)"
S6,small,"(16.446682291610376, 103.41974365663991)","(24.446682291610376, 111.41974365663991)"
S7,small,"(17.010014995733513, 124.53249650113354)","(25.010014995733513, 132.53249650113355)"
S8,small,"(147.05541754256168, 30.179273021046072)","(155.05541754256168, 38.17927302104607)"
S9,small,"(64.42886220354784, 169.67413577582226)","(72.42886220354784, 177.67413577582226)"
S10,small,"(4.3348735532270934, 108.12194907703497)","(12.334873553227094, 116.12194907703497)"
S11,small,"(3.0114086786118257, 58.53349373157858)","(11.011408678611826, 66.53349373157857)"
S12,small,"(150.10981965908096, 66.74218768006098)","(158.10981965908096, 74.74218768006098)"
S13,small,"(103.7637601427165, 152.82474918559262)","(111.7637601427165, 160.82474918559262)"
S14,small,"(38.395764197776856, 132.31960934623402)","(46.395764197776856, 140.31960934623402)"
S15,small,"(44.79976649413041, 170.83604431254466)","(52.79976649413041, 178.83604431254466)"
S16,small,"(136.29871254822964, 122.63323904723819)","(144.29871254822964, 130.6332390472382)"
S17,small,"(18.77976094741224, 170.575078688411)","(26.77976094741224, 178.575078688411)"
S18,small,"(84.68579573471888, 41.11270880928717)","(92.68579573471888, 49.11270880928717)"
S19,small,"(145.91417917518012, 17.66996072777987)","(153.91417917518012, 25.66996072777987)"
S20,small,"(139.81693086231226, 55.47541115581875)","(147.81693086231226, 63.47541115581875)"
S21,small,"(40.10217629694263, 27.156727184482524)","(48.10217629694263, 35.15672718448252)"
S22,small,"(139.5882148960744, 137.64983675907752)","(147.5882148960744, 145.64983675907752)"
S23,small,"(150.48438643952855, 120.23072291840948)","(158.48438643952855, 128.23072291840947)"
M0,medium,"(67.48381869887139, 130.56213592594307)","(78.48381869887139, 137.56213592594307)"
M1,medium,"(116.98897507852055, 1.5385260804602958)","(127.98897507852055, 8.538526080460295)"
M2,medium,"(95.96483780895242, 12.615990503847126)","(106.96483780895242, 19.615990503847126)"
M3,medium,"(146.2302070340154, 86.18854928608145)","(157.2302070340154, 93.18854928608145)"
M4,medium,"(140.18879259502458, 6.297734541843106)","(151.18879259502458, 13.297734541843106)"
M5,medium,"(117.21109158104566, 151.58645388971613)","(128.21109158104565, 158.58645388971613)"
M6,medium,"(12.710734666849406, 71.54340957420638)","(23.710734666849405, 78.54340957420638)"
M7,medium,"(141.82590356566635, 171.36157601610023)","(152.82590356566635, 178.36157601610023)"
M8,medium,"(0.008413862294520569, 163.72910058451495)","(11.008413862294521, 170.72910058451495)"
M9,medium,"(37.76770579240708, 14.384855204861125)","(48.76770579240708, 21.384855204861125)"
L0,large,"(120.3921219057897, 34.60902048027339)","(132.39212190578968, 44.60902048027339)"
L1,large,"(65.32098225696984, 38.17803567733362)","(77.32098225696984, 48.17803567733362)"
L2,large,"(7.678795856438882, 2.264489439463163)","(19.67879585643888, 12.264489439463162)"
L3,large,"(123.48140383915042, 72.30596724357345)","(135.4814038391504, 82.30596724357345)"
L4,large,"(62.060580619133695, 149.72713153586818)","(74.0605806191337, 159.72713153586818)"
L5,large,"(61, 5)","(73, 15)"
60,3,24718620.0,5
S0,small,"(145.51314273042445, 164.0812004981259)","(153.51314273042445, 172.0812004981259)"
S1,small,"(74.83966608236761, 170.74706693942932)","(82.83966608236761, 178.74706693942932)"
S2,small,"(132.51659731271428, 166.1005823155558)","(140.51659731271428, 174.1005823155558)"
S3,small,"(1.5751867965982402, 35.52211290196966)","(9.57518679659824, 43.52211290196966)"
S4,small,"(47.49669496209392, 168.3122511442546)","(55.49669496209392, 176.3122511442546)"
S5,small,"(117.2612285649424, 144.283064398299)","(125.2612285649424, 152.283064398299)"
S6,small,"(90.22209940482442, 168.76171781671783)","(98.22209940482442, 176.76171781671783)"
S7,small,"(0.029271288870009293, 76.69974636687968)","(8.02927128887001, 84.69974636687968)"
